ma,province,1stdose_adult,2nddose_adult,3rddose_adult,1stdose_children,2nddose_children,doses
1,Hà Nội,6233533,6010905,4384999,703093,680369,18230271
2,Hà Giang,491893,480909,240518,89465,87258,1602385
4,Cao Bằng,351061,333484,137206,45621,41472,982335
6,Bắc Cạn,220985,219396,134811,25736,24835,639774
8,Tuyên Quang,493748,491893,346673,70237,67026,1505340
10,Lào Cai,467737,457964,165183,81722,76772,1506783
11,Điện Biên,337457,320684,92862,76484,63854,1123723
12,Lai Châu,257167,247119,101256,54456,48798,817722
14,Sơn La,740109,708702,408343,144034,132518,2136068
15,Yên Bái,518586,509434,231258,80403,76419,1681537
17,Hoà Bình,559184,532861,205631,77406,73082,1687457
19,Thái Nguyên,916705,888549,371569,111273,108257,2618118
20,Lạng Sơn,512122,503951,433842,66528,62859,1579302
22,Quảng Ninh,1013444,98787,90041,124328,120979,3168656
24,Bắc Giang,1305661,1288142,1101369,149985,14946,4154361
25,Phú Thọ,1003369,1002934,442201,130616,12914,2997441
26,Vĩnh Phúc,795389,774326,40246,117004,113134,2445307
27,Bắc Ninh,1138242,1097468,578621,117076,111027,3402952
30,Hải Dương,1336461,1293269,703595,157247,155092,3754554
31,Hải Phòng,1699513,1627622,456392,173649,174568,4711145
33,Hưng Yên,822811,798818,385763,110591,110075,2538972
34,Thái Bình,1162235,1200370,491107,154067,147025,3555419
35,Hà Nam,584841,576409,312209,7144,69249,1891508
36,Nam Định,1150015,1133281,910031,159339,157132,3567158
37,Ninh Bình,675426,668271,36391,82255,79446,2104523
38,Thanh Hoá,2205107,2145276,1748660,283977,281834,7385430
40,Nghệ An,2005436,1998146,618628,281138,267952,6241110
42,Hà Tĩnh,804869,740576,187855,114027,112309,2231611
44,Quảng Bình,540165,527821,228394,81758,76544,1631841
45,Quảng Trị,433771,418734,242319,65024,60416,1296502
46,Thừa Thiên Huế,787757,768704,37694,104747,99405,2418894
48,ĐàNẵng,881424,866437,600438,102158,99989,2632855
49,Quảng Nam,1085506,1054638,373574,132605,130337,3231575
51,Quảng Ngãi,852824,813143,528764,114198,112187,2546648
52,Bình Định,1054653,1021304,430631,141496,139562,3206727
54,Phú Yên,626892,602548,300201,87336,80004,1778907
56,Khánh Hòa,9797,952919,353763,122282,11496,2919208
58,Ninh Thuận,432606,404368,179218,61904,59237,1293308
60,Bình Thuận,915809,88918,211107,132735,130653,2567364
62,Kon Tum,3215,321611,11666,59066,55828,980296
64,Gia Lai,996091,921737,303414,169499,151549,2838737
66,Đắc Lắc,1261226,1204088,282235,183331,169899,3620750
67,Đắk Nông,403319,3998,142026,6807,65742,1291743
68,Lâm Đồng,98334,967878,256554,14022,121295,2997279
70,Bình Phước,753459,723118,262527,109584,100949,2171348
72,Tây Ninh,948905,896548,507711,109066,100641,2595342
74,Bình Dương,2634142,2196403,1380296,199855,167983,6742468
75,Đồng Nai,2840005,2746069,744375,284677,274559,7069539
77,Bà Rịa - Vũng Tàu,971107,91233,657367,110539,109284,2789302
79,Hồ Chí Minh,7396776,6687967,4261060,729702,686505,20444678
80,Long An,1501599,1465452,1145819,172302,157922,4466006
82,Tiền Giang,1325439,1280313,834073,157126,15823,3992135
83,Bến Tre,1024716,1013397,304702,106936,105842,3035564
84,Trà Vinh,698874,685171,519707,98647,94348,2111123
86,Vĩnh Long,779033,765619,349957,9289,88112,2366309
87,Đồng Tháp,1161088,1201523,304556,157885,14914,3347982
89,An Giang,1377257,1362503,42387,206984,191384,4227853
91,Kiên Giang,1238102,1176657,720303,167347,159082,3530463
92,Cần Thơ,945155,927463,3363,110682,103665,2773438
93,Hậu Giang,532801,514817,13581,74042,71613,1583322
94,Sóc Trăng,899036,86552,48563,116852,111026,2711508
95,Bạc Liêu,568695,5609,228168,88829,86211,1714199
96,Cà Mau,819787,809044,197948,112601,111924,2511953
