ma,province,total_doses,dose1_over18,dose2_over18,dose3_over18,dose1_12to17,dose2_12to17,dose3_12to17,dose1_5to11,dose2_5to11,dose3_5to11
1,Hà Nội,18438644,6234434,6014607,4436914,706123,683335,0,145865,0,0
2,Hà Giang,1621595,492137,482299,245604,89616,87609,0,11182,0,0
4,Cao Bằng,1035839,351665,336292,173355,46734,41767,0,11223,0,0
6,Bắc Cạn,679702,218610,209528,177739,26147,25257,0,7776,0,0
8,Tuyên Quang,1583958,494479,491270,355251,76946,75283,0,4197,0,0
10,Lào Cai,1660311,482548,459955,278977,83235,77676,0,18831,0,0
11,Điện Biên,1149796,337457,320684,92862,76484,63854,0,26073,0,0
12,Lai Châu,886346,257701,248544,151359,55412,50077,0,14219,0,0
14,Sơn La,2311796,743100,715409,542628,144888,135269,0,28140,0,0
15,Yên Bái,1871884,519607,512105,396056,80872,77361,0,19867,0,0
17,Hoà Bình,1788557,561493,536374,306954,77639,73709,0,4715,0,0
19,Thái Nguyên,2802088,916705,888549,526085,111389,108915,0,28680,0,0
20,Lạng Sơn,1607879,512880,506976,440186,68745,63485,0,15607,0,0
22,Quảng Ninh,3192738,1013444,987870,900410,124328,120979,0,24082,0,0
24,Bắc Giang,4181205,1305661,1288142,1107369,149985,149460,0,20844,0,0
25,Phú Thọ,3181848,1004997,1007672,581800,131870,131148,0,31650,0,0
26,Vĩnh Phúc,2520978,796339,778681,459242,118199,115239,0,10284,0,0
27,Bắc Ninh,3519907,1138744,1098835,668782,117485,111579,0,23964,0,0
30,Hải Dương,3882164,1336461,1295294,809825,157247,155092,0,18337,0,0
31,Hải Phòng,4711610,1699550,1627840,456392,173649,174568,0,210,0,0
33,Hưng Yên,2579227,826764,803485,400508,110591,110075,0,18514,0,0
34,Thái Bình,3763303,1163834,1207414,631062,154582,148464,0,31945,0,0
35,Hà Nam,1926845,585031,577105,331816,71440,69259,0,14457,0,0
36,Nam Định,3621099,1150273,1134762,923992,159064,158206,0,37442,0,0
37,Ninh Bình,2267319,675426,668271,430096,82255,79446,0,18929,0,0
38,Thanh Hoá,7568256,2205107,2145276,1874212,288213,283647,0,50188,0,0
40,Nghệ An,6810858,2005436,1998146,1171437,281138,267952,0,16939,0,0
42,Hà Tĩnh,2396015,806308,760336,308234,114916,113130,0,9672,0,0
44,Quảng Bình,1659328,540639,530710,244703,82668,77289,0,4625,0,0
45,Quảng Trị,1335628,434210,421722,267548,66177,61034,0,8659,0,0
46,Thừa Thiên Huế,2478450,787903,769533,407423,105332,100403,0,21122,0,0
48,Đà Nẵng,2665402,881445,866509,622453,102158,99989,0,10439,0,0
49,Quảng Nam,3323737,1086453,1056325,436676,132605,130337,0,9414,0,0
51,Quảng Ngãi,2559106,853860,814084,528840,114341,113152,0,9294,0,0
52,Bình Định,3282159,1055422,1022738,490996,143085,139812,0,8584,0,0
54,Phú Yên,1826245,627043,606949,328508,87658,80004,0,14157,0,0
56,Khánh Hòa,2952785,980038,954156,366167,123377,117591,0,14541,0,0
58,Ninh Thuận,1304895,432691,404795,181081,62104,59430,0,8558,0,0
60,Bình Thuận,2599002,915991,889857,228171,132970,124295,0,14065,0,0
62,Kon Tum,1001924,321753,321906,130746,60178,55973,0,5468,0,0
64,Gia Lai,2882447,996471,922967,318421,170115,152184,0,24182,0,0
66,Đắc Lắc,3722816,1262813,1208476,356355,184965,171551,0,10140,0,0
67,Đắk Nông,1361784,403464,399700,186311,68281,66310,0,16625,0,0
68,Lâm Đồng,3048851,983684,969337,270379,141973,123328,0,31660,0,0
70,Bình Phước,2263824,753676,723821,328414,109872,101037,0,24775,0,0
72,Tây Ninh,2616989,948968,897255,521713,109710,101513,0,5281,0,0
74,Bình Dương,6834780,2634142,2196403,1440424,199855,167983,0,32184,0,0
75,Đồng Nai,7185929,2840333,2746943,765350,298695,274599,0,78584,0,0
77,Bà Rịa - Vũng Tàu,2811451,971107,913900,664784,110539,109284,0,13162,0,0
79,Hồ Chí Minh,20701678,7401055,6689934,4271471,735852,686779,0,233459,0,0
80,Long An,4501980,1501827,1465991,1149874,172997,159845,0,28426,0,0
82,Tiền Giang,4048589,1325690,1281884,870645,158487,158833,0,14731,0,0
83,Bến Tre,3077262,1024932,1014106,323587,107728,106287,0,19821,0,0
84,Trà Vinh,2133686,698980,685479,521092,98647,94348,0,20764,0,0
86,Vĩnh Long,2503545,779428,767461,462056,94177,89326,0,20386,0,0
87,Đồng Tháp,3704365,1161677,1220823,606117,159914,142815,0,26924,0,0
89,An Giang,4268624,1378121,1363647,448211,208127,192341,0,12180,0,0
91,Kiên Giang,3549700,1238102,1176657,720303,167347,159082,0,19237,0,0
92,Cần Thơ,2852608,945449,928450,385646,111688,104367,0,23923,0,0
93,Hậu Giang,1620402,533019,515667,156120,74049,71656,0,12146,0,0
94,Sóc Trăng,2740769,899036,865520,48563,116852,111026,0,29261,0,0
95,Bạc Liêu,1739737,568735,561364,237698,88835,86255,0,15106,0,0
96,Cà Mau,2612644,820314,809499,247085,127106,126643,0,15520,0,0
